study,treatment,responders,sample_size
S001,A,42,81
S001,C,63,141
S002,C,42,147
S002,D,77,171
S002,B,58,126
S003,D,107,139
S003,C,35,54
S003,E,112,177
S004,A,78,173
S004,C,61,165
S004,E,62,151
S005,A,87,173
S005,B,25,56
S005,C,28,76
S006,D,36,51
S006,C,28,65
S006,B,65,106
S007,E,32,63
S007,C,41,109
S007,D,54,105
S008,E,29,72
S008,C,29,82
S009,B,28,55
S009,C,28,73
S009,A,24,55
S010,B,55,129
S010,D,36,87
S011,E,56,139
S011,D,59,158
S012,C,99,187
S012,E,34,72
S012,A,128,197
S013,B,50,161
S013,A,59,147
S014,C,27,76
S014,D,56,117
S015,D,25,51
S015,C,59,145
S015,E,25,71
S016,A,65,134
S016,E,58,156
S017,B,77,156
S017,C,88,196
S017,A,38,85
S018,D,95,179
S018,B,104,176
S018,C,71,139
S019,E,23,77
S019,D,48,116
S019,C,55,183
S020,E,36,108
S020,A,74,158
S021,A,55,98
S021,B,29,67
S022,B,42,83
S022,C,56,157
S023,E,34,62
S023,D,66,124
S023,C,31,61
S024,C,50,145
S024,A,44,94
S024,E,77,191
S025,A,30,54
S025,C,52,104
S025,B,62,131
S026,C,45,98
S026,D,49,130
S026,B,55,110
S027,C,66,161
S027,E,77,182
S027,D,47,115
S028,C,49,155
S028,A,45,94
S029,A,87,162
S029,B,24,54
S029,C,57,154
S030,D,40,83
S030,B,98,155
S030,C,33,71
